year;name;count
2017;Doctor Doctor;45
2016;Doctor Doctor;72
2014;Doctor Doctor;20
2013;Doctor Doctor;46
2012;Doctor Doctor;34
2011;Doctor Doctor;63
2010;Doctor Doctor;36
2009;Aces High;22
2008;Aces High;68
2007;Different World;16
2006;Brighter Than a Thousand Suns;45
2005;The Trooper;45
2004;Wildest Dreams;14
2003;Wildest Dreams;90
2002;Run to the Hills;6
2001;The Wicker Man;6
2000;The Wicker Man;79
1999;Aces High;28
1998;Futureal;87
1996;Man on the Edge;74
1995;Man on the Edge;55
1993;The Trooper;45
1992;Be Quick or Be Dead;66
1991;Tailgunner;50
1990;Tailgunner;56
1988;Moonchild;96
1987;Caught Somewhere in Time;85
1986;Wasted Years;67
1985;Intro - Churchill's Speech;102
1984;Aces High;85
1983;The Trooper;137
1982;Wrathchild;172
1981;Sanctuary;128
1980;Transylvania;170
1979;Drifter;6
1978;Drifter;1
1977;;1
